FuncionarioChave;Data;DiaSemana;Codigo;Fonte;Observacao
EK5H;2022-11-01;TER;NB;STD_2022;
YMOF;2022-11-01;TER;NB;STD_2022;
NSYD;2022-11-01;TER;EM;STD_2022;
TFBN;2022-11-01;TER;NB;STD_2022;
U4IC;2022-11-01;TER;NB;STD_2022;
CX1A;2022-11-01;TER;NB;STD_2022;
URPQ;2022-11-01;TER;NB;STD_2022;
U3PE;2022-11-01;TER;NB;STD_2022;
U3PX;2022-11-01;TER;NB;STD_2022;
URGU;2022-11-01;TER;NB;STD_2022;
B5QM;2022-11-01;TER;NB;STD_2022;
BH1E;2022-11-01;TER;NB;STD_2022;
FMB1;2022-11-01;TER;NB;STD_2022;
CXLT;2022-11-01;TER;NB;STD_2022;
AJP2;2022-11-01;TER;NB;STD_2022;
D2HS;2022-11-01;TER;NB;STD_2022;
JMU9;2022-11-01;TER;NB;STD_2022;
FRCF;2022-11-01;TER;NB;STD_2022;
YT3I;2022-11-01;TER;NB;STD_2022;
NVBN;2022-11-01;TER;NB;STD_2022;
B1S8;2022-11-01;TER;NB;STD_2022;
FRD9;2022-11-01;TER;NB;STD_2022;
WV8P;2022-11-01;TER;NB;STD_2022;
M37R;2022-11-01;TER;O;STD_2022;
KB1O;2022-11-01;TER;NB;STD_2022;
WS3M;2022-11-01;TER;NB;STD_2022;
F8CK;2022-11-01;TER;NB;STD_2022;
URON;2022-11-01;TER;NB;STD_2022;
M37G;2022-11-01;TER;NB;STD_2022;
URI2;2022-11-01;TER;NB;STD_2022;
FMKI;2022-11-01;TER;NB;STD_2022;
URJ1;2022-11-01;TER;NB;STD_2022;
Sem data;2022-11-01;TER;Bernardo, Laura,Belmont, Guilherme, Feo, Marcelo, Nayara;STD_2022;
WMFR;2022-11-01;TER;NB;STD_2022;
URVX;2022-11-01;TER;NB;STD_2022;
EK5H;2022-11-02;QUA;NB;STD_2022;
YMOF;2022-11-02;QUA;NB;STD_2022;
NSYD;2022-11-02;QUA;EM;STD_2022;
TFBN;2022-11-02;QUA;NB;STD_2022;
U4IC;2022-11-02;QUA;NB;STD_2022;
CX1A;2022-11-02;QUA;NB;STD_2022;
URPQ;2022-11-02;QUA;NB;STD_2022;
U3PE;2022-11-02;QUA;NB;STD_2022;
U3PX;2022-11-02;QUA;NB;STD_2022;
URGU;2022-11-02;QUA;NB;STD_2022;
B5QM;2022-11-02;QUA;NB;STD_2022;
BH1E;2022-11-02;QUA;NB;STD_2022;
CXLT;2022-11-02;QUA;NB;STD_2022;
JMU9;2022-11-02;QUA;NB;STD_2022;
FRCF;2022-11-02;QUA;NB;STD_2022;
YT3I;2022-11-02;QUA;NB;STD_2022;
NVBN;2022-11-02;QUA;NB;STD_2022;
FRD9;2022-11-02;QUA;NB;STD_2022;
WV8P;2022-11-02;QUA;NB;STD_2022;
M37R;2022-11-02;QUA;NB;STD_2022;
KB1O;2022-11-02;QUA;NB;STD_2022;
URON;2022-11-02;QUA;NB;STD_2022;
WMFR;2022-11-02;QUA;NB;STD_2022;
URVX;2022-11-02;QUA;NB;STD_2022;
EK5H;2022-11-03;QUI;NB;STD_2022;
YMOF;2022-11-03;QUI;NB;STD_2022;
NSYD;2022-11-03;QUI;EM;STD_2022;
TFBN;2022-11-03;QUI;NB;STD_2022;
U4IC;2022-11-03;QUI;NB;STD_2022;
CX1A;2022-11-03;QUI;NB;STD_2022;
URPQ;2022-11-03;QUI;NB;STD_2022;
U3PE;2022-11-03;QUI;NB;STD_2022;
U3PX;2022-11-03;QUI;NB;STD_2022;
URGU;2022-11-03;QUI;NB;STD_2022;
B5QM;2022-11-03;QUI;NB;STD_2022;
BH1E;2022-11-03;QUI;NB;STD_2022;
CXLT;2022-11-03;QUI;NB;STD_2022;
JMU9;2022-11-03;QUI;NB;STD_2022;
FRCF;2022-11-03;QUI;NB;STD_2022;
YT3I;2022-11-03;QUI;NB;STD_2022;
NVBN;2022-11-03;QUI;NB;STD_2022;
FRD9;2022-11-03;QUI;NB;STD_2022;
WV8P;2022-11-03;QUI;NB;STD_2022;
M37R;2022-11-03;QUI;NB;STD_2022;
KB1O;2022-11-03;QUI;NB;STD_2022;
URON;2022-11-03;QUI;NB;STD_2022;
WMFR;2022-11-03;QUI;NB;STD_2022;
URVX;2022-11-03;QUI;NB;STD_2022;
EK5H;2022-11-04;SEX;NB;STD_2022;
YMOF;2022-11-04;SEX;NB;STD_2022;
NSYD;2022-11-04;SEX;EM;STD_2022;
TFBN;2022-11-04;SEX;NB;STD_2022;
U4IC;2022-11-04;SEX;NB;STD_2022;
CX1A;2022-11-04;SEX;NB;STD_2022;
URPQ;2022-11-04;SEX;NB;STD_2022;
U3PE;2022-11-04;SEX;NB;STD_2022;
U3PX;2022-11-04;SEX;NB;STD_2022;
URGU;2022-11-04;SEX;NB;STD_2022;
B5QM;2022-11-04;SEX;NB;STD_2022;
BH1E;2022-11-04;SEX;NB;STD_2022;
CXLT;2022-11-04;SEX;NB;STD_2022;
JMU9;2022-11-04;SEX;NB;STD_2022;
FRCF;2022-11-04;SEX;NB;STD_2022;
YT3I;2022-11-04;SEX;NB;STD_2022;
NVBN;2022-11-04;SEX;NB;STD_2022;
FRD9;2022-11-04;SEX;NB;STD_2022;
WV8P;2022-11-04;SEX;NB;STD_2022;
M37R;2022-11-04;SEX;NB;STD_2022;
KB1O;2022-11-04;SEX;NB;STD_2022;
URON;2022-11-04;SEX;NB;STD_2022;
WMFR;2022-11-04;SEX;NB;STD_2022;
URVX;2022-11-04;SEX;NB;STD_2022;
EK5H;2022-11-05;SAB;NB;STD_2022;
YMOF;2022-11-05;SAB;NB;STD_2022;
NSYD;2022-11-05;SAB;EM;STD_2022;
TFBN;2022-11-05;SAB;NB;STD_2022;
